keys,en,ca
SUBTITLE,"A game about sending rich people to space\n(without any plan of bringing them back)","Un joc sobre enviar rics a l'espai\n(sense cap pla de tornada)"
New Game,New Game,Nova Partida
City,Town,Poble
Body Navigation,Celestial Body Navigation,Navegació entre cossos celestials
Zoom,Zoom,Zoom
tutorial_richmen_runout,"When richmen run out, you have to work to create more!\n\nWorking to make the rich richer will have consequences to your town.","Quan et quedis sense rics, hauràs de treballar per a crear-ne més!\n\nTreballar pels rics tindrà conseqüències al teu poble."
tutorial_turn_cannon,A/D to\nturn the launch cannon,A/D per\norientar el canó
tutorial_power,W/S\nto change power,W/S\nper canviar la força
tutorial_aim,Aim and...,Apunta i...
tutorial_trickledown,TRICKLEDOWN\nwhen ready,TRICKLEDOWN\nquan vulguis!
tutorial_orbital_rotation,A/D to\nturn the orbital rich,A/D per\nrotar el ric orbital
tutorial_orbital_thrust,W/D to\nthurst,W/D per\naccelerar
Skip Tutorials,Skip Tutorials,Saltar Tutorials
WORK,WORK,TREBALLAR
System,System,Sistema
Is it funny?,Is it funny?,Fa gràcia?
richmen,{num_richmen} richmen,{num_richmen} rics
stonks,{stonks}\nstonks,{stonks}\nstoncs
Star,Star,Estrella
HomePlanet,Home Planet,Planeta Origen
Satellite,Satellite,Satèl·lit
LAUNCH,launch a richmen to space,llança un ric a l'espai
CRASH_HOME,crash with your home planet,esclafa't contra el teu planeta d'origen
LAUNCH_ATMOSPHERE,launch a richmen over the atmosphere,llança un ric fora de l'atmòsfera
ORBIT_ONE,orbit one time around your home planet,orbita una vegada al voltant del teu planeta d'origen
CRASH_STAR,crash with the system's Star,esclafa't contra l'estrella del sistema
ORBIT_STABLE,stable orbit around your home planet (no thrusting!),òrbita estable en baixa òrbita del planeta d'origen (sense motor!)
CRASH_SATELLITE,crash with a satellite,esclafa't contra un satèl·lit
ORBIT_STAR,orbit around the system's Star,orbita al voltant de l'estrella del sistema
ORBIT_SATELLITE,orbit around the satellite,orbita al voltant del satèl·lit
ESCAPE_VELOCITY,reach the system escape velocity,assoleix velocitat d'escapament
VISIT_3,visit the three celestial bodies in one trip,visita els tres cossos celestials en un viatge
CRASH_ASTRONAUT,crash against another astronaut,xoca amb un altre astronauta
GO_BEYOND,do whatever you like with them! The rich do not suffer,fes el què vulguis amb ells! Els rics no pateixen
FREED,has been freed!,ha set alliberada!
CAPITALIZED,has been capitalized!,ha set capitalitzada!
