guid,content,content_ca,karma,richmen,title
cbeca868-9af3-4225-be08-92ba3e2232c1,Wi-Fi prices rise,Els preus del Wi-Fi augmenten,2,elonmusk,
6210a0df-8b0f-4b9e-a288-eb3742247f83,Train construction is halted in favor of hyperloop research,La construcció de trens s'atura a favor de la investigació hyperloop,2,elonmusk,
74455192-031b-4fc5-80b9-1c68075b3f4d,Housing is no longer free,L'habitatge ja no és gratuït,2,,
991234bf-f839-4793-88e2-ead5a4badb21,Expats working in Tech rise the cost of life,Els expatriats que treballen en tecnologia augmenten el cost de la vida,2,jeffbezos,
fb79e643-2d66-449c-a199-52cc8542da9d,The Newspapers start praising the richmen,Els diaris comencen a lloar els rics,2,warrenbuffet,
68f021f4-23b2-454b-8e0a-c3d65382ae68,"Monopoly laws are relaxed, some small business go bust","Les lleis de monopoli es relaxen, algunes petites empreses fracassen",2,warrenbuffet,
9172eeee-410a-4b84-b374-09ee5c10f374,Charities budget is increased,S'augmenta el pressupost de les organitzacions benèfiques,0,,
253ff3e6-8196-491a-9792-3c7a3e679c6b,Unions start forming,Es comencen a formar sindicats,0,,
5864c0a9-cc61-4b15-9be9-7a4e82f37b3a,Schools accept a deal to use Tech Software,Les escoles accepten un acord per utilitzar el programari tecnològic,2,billgates,
31d575a3-2059-485b-9961-e7fdfc23fe82,Tech starts tracking consumers,La tecnologia comença a fer un seguiment dels consumidors,2,,
8647f1da-2b56-4903-97e7-ba15e03d45dc,Political Parties appear,Apareixen els partits polítics,1,,
b03e1a5e-0c53-41cc-8664-a2a777fb092b,Local assemblies allowed to small towns only,Les assemblees locals només es permeten a les ciutats petites,2,,
1feb5dc1-da8d-403b-aeb3-e128c4c241fc,Citizens become Producer-Consumers,Els ciutadans esdevenen productors-consumidors,1,,
8946f98e-6924-4de5-b72b-13b5f4ced1b7,Speculation crashes the housing market,L'especulació fa caure el mercat de l'habitatge,2,,
0d03a4cd-6d29-47de-a7c8-0d92d5f9a1b6,Overstock is burned,Es crema l'excés d'existències,2,bernardarnault,
68b501f4-ed2b-48e8-afcd-d82da4cbe55b,Wealth inheritance is established,S'estableix l'herència de la riquesa,2,,
8f1a371a-72c7-4960-b8ba-3802a01c8966,"Assemblies establish a free, open communication network",Les assemblees estableixen una xarxa de comunicació lliure i oberta,0,,
518532ca-4374-4c07-8cda-b255b4d82d11,Opensource becomes the standard,El codi obert es converteix en l'estàndard,0,,
7135f20d-c1f3-43c5-8096-b12884f80f2a,Tax Havens are created,Es creen Paradisos Fiscals,2,,
8b18bd69-85b6-4d47-a833-5d7201cbd9a9,Bombing kills 11 engineers after an arms deal,Un bombardeig mata 11 enginyers després d'un tracte d'armes,2,bernardarnault,
ad8b6084-39af-4547-b76b-d5b53f29b3c9,Conflict increases,El conflicte augmenta,2,,
8eda988b-8c78-4643-89e1-236f20af70e8,A newspaper is shut down after publishing a cartoon moking the richmen,Tanca un diari després de publicar una caricatura que burla els rics,2,,
0008edfe-cfd7-4b70-8e49-add3da7b5654,Local factories are moved to another country after privatization,Les fàbriques locals es traslladen a un altre país després de la privatització,2,bernardarnault,
8107da7c-2563-407e-8234-cc382c978ee2,Knowing the origin and life cycle of goods becomes harder to understand,Conèixer l'origen i el cicle de vida dels béns es fa més difícil d'entendre,2,,
3e5a673a-9351-480a-b02f-ac560d533860,A bank offers a billion line of credit to a selected few,Un banc ofereix mil milions de línia de crèdit a uns quants seleccionats,1,,
ad99905f-6509-4fa0-89b1-e0e6a872b8bc,A few houses around a richmen house are bought and torn down,Es compren i es derroquen unes quantes cases al voltant d'una casa d'homes rics,2,larryellison,
b34f7791-e005-45ec-a215-37ea939123df,Discarded documentation of a popular assembly-managed company stolen from the trash,Documentació descartada d'una empresa popular gestionada per assemblea robada a les escombraries,2,larryellison,
0c2683a2-013a-44ba-9307-c319f5595d56,Local sports team has been bought,S'ha comprat l'equip esportiu local,1,larryellison,
47881456-3cd9-4323-9e09-c8ef06294fdb,Popular software compny found to have stolen it's core code from an informal meeting,S'ha trobat una empresa de programari popular que ha robat el seu codi bàsic d'una reunió informal,2,billgates,
bc70cdc7-e5d7-4457-a7ca-deb33b501d0d,Vaccine technologies are patented and no longer available for production worldwide,Les tecnologies de vacunació estan patentades i ja no estan disponibles per a la producció a tot el món,2,billgates,
