keys,en,ca
bio_elonmusk,"Elon Musk is a South African-born Canadian-American businessman, inventor, and investor who has a net worth of $333 billion. Elon Musk is currently the richest person in the world. In November 2021, when his net worth briefly topped $340 billion, Elon surpassed John D. Rockefeller to become the richest person in modern history.","Elon Musk és un home de negocis, inventor i inversor canadenc-nord-americà nascut a Sud-àfrica que té un valor net de 333.000 milions de dòlars. És actualment la persona més rica del món. El novembre de 2021, quan el seu patrimoni net va superar breument els 340.000 milions de dòlars, Elon va superar a John D. Rockefeller per convertir-se en la persona més rica de la història moderna."
bio_jeffbezos,"Jeff Bezos is an American philanthropist, businessman and space explorer who has a net worth of $226 billion. Jeff Bezos earned his fortune as the founder of Amazon.com. Jeff Bezos is the former CEO and current president and chairman of the board of Amazon. He was the richest person in the world without interruption between October 2017 and January 2021.","Jeff Bezos és un filantrop, home de negocis i explorador espacial nord-americà que té un patrimoni net de 226.000 milions de dòlars. Jeff Bezos va guanyar la seva fortuna com a fundador d'Amazon.com. Jeff Bezos és l'antic conseller delegat i actual president i president del consell d'Amazon. Va ser la persona més rica del món sense interrupcions entre octubre de 2017 i gener de 2021."
bio_larryellison,"Larry Ellison is an American billionaire entrepreneur who has a net worth of $204 billion. Larry Ellison earned his enormous fortune as the founder of software giant Oracle. He also served as CEO until September 2014. Ellison's net worth makes him one of the richest people in the world, behind other tycoons like Jeff Bezos.","Larry Ellison és un empresari multimilionari nord-americà que té un valor net de 204.000 milions de dòlars. Larry Ellison es va guanyar la seva enorme fortuna com a fundador del gegant del programari Oracle. També va exercir com a conseller delegat fins al setembre de 2014. El patrimoni net d'Ellison el converteix en una de les persones més riques del món, darrere d'altres magnats com Jeff Bezos."
bio_markzuckerberg,Mark Zuckerberg is an American technology entrepreneur and philanthropist who has a net worth of $200 billion. The vast majority of Mark's fortune is attributable to his shares in Facebook.,Mark Zuckerberg és un empresari i filantrop tecnològic nord-americà que té un valor net de 200.000 milions de dòlars. La gran majoria de la fortuna de Mark és atribuïble a les seves accions a Facebook.
bio_bernardarnault,"Bernard Arnault is a French billionaire entrepreneur who has a net worth of $181 billion. Bernard Arnault earned his fortune as the chairman and chief executive of the world's largest luxury goods company, LVMH.","Bernard Arnault és un empresari multimilionari francès que té un valor net de 181.000 milions de dòlars. Bernard Arnault va guanyar la seva fortuna com a president i conseller delegat de la companyia de productes de luxe més gran del món, LVMH."
bio_billgates,"Bill Gates is an American billionaire entrepreneur, author and philanthropist who has a net worth of $156 billion. Bill Gates earned his first fortune as the co-founder and former chairman and CEO of Microsoft. The proceeds of his sales have funded Cascade Investment LLC.","Bill Gates és un empresari, autor i filantrop multimilionari nord-americà que té un valor net de 156.000 milions de dòlars. Bill Gates va guanyar la seva primera fortuna com a cofundador i antic president i CEO de Microsoft. Els ingressos de les seves vendes han finançat Cascade Investment LLC."
bio_larrypage,"Larry Page is an American billionaire entrepreneur who has a net worth of $150 billion. Larry Page earned his fortune as the co-founder of Google, which is today known by its umbrella parent company Alphabet.","Larry Page és un empresari multimilionari nord-americà que té un valor net de 150.000 milions de dòlars. Larry Page es va guanyar la seva fortuna com a cofundador de Google, que avui és conegut per la seva empresa matriu Alphabet."
bio_steveballmer,Steve Ballmer is an American businessman and sports team owner who has a net worth of $145 billion. The vast majority of Steve Ballmer's net worth is derived from his 333.3 million shares of Microsoft stock. That is roughly 4% of the total outstanding shares. Steve is actually the company's largest individual shareholder.,"Steve Ballmer és un empresari nord-americà i propietari d'equips esportius que té un valor net de 145.000 milions de dòlars. La gran majoria del patrimoni net de Steve Ballmer es deriva dels seus 333,3 milions d'accions de Microsoft. Això és aproximadament el 4% del total de les accions en circulació. Steve és en realitat el major accionista individual de la companyia."
bio_sergeybrin,"Sergey Brin is a Russian-born American computer scientist and internet entrepreneur who has a net worth of $141 billion. Sergey Brin earned his net worth as the co-founder of Google, which today is known by umbrella parent company Alphabet. He co-founded the company with Larry Page, a classmate at Standford's computer science graduate program.","Sergey Brin és un informàtic nord-americà nascut a Rússia i empresari d'Internet que té un valor net de 141.000 milions de dòlars. Sergey Brin va guanyar el seu patrimoni net com a cofundador de Google, que avui és conegut per l'empresa matriu Alphabet. Va cofundar l'empresa amb Larry Page, un company de classe del programa de postgrau en informàtica de Standford."
bio_warrenbuffett,Warren Buffett is an American investor and philanthropist who has a net worth of $138 billion. Warren's wealth comes from his ownership stake in the holding company Berkshire Hathaway. Warren Buffett is widely considered the greatest investor of the 20th century.,Warren Buffett és un inversor i filantrop nord-americà que té un valor net de 138.000 milions de dòlars. La riquesa de Warren prové de la seva participació en el holding Berkshire Hathaway. Warren Buffett és àmpliament considerat el major inversor del segle XX.
bio_jensenhuang,"Jensen Huang is a Taiwanese-American billionaire business magnate and electrical engineer who has a net worth of $120 billion. Jensen Huang earned his fortune as the co-founder and CEO of the technology company Nvidia Corporation, which designs GPUs, APIs, and SoCs, among other hardware and software.","Jensen Huang és un magnat empresarial multimilionari taiwanès i enginyer elèctric que té un valor net de 120.000 milions de dòlars. Jensen Huang va guanyar la seva fortuna com a cofundador i CEO de l'empresa tecnològica Nvidia Corporation, que dissenya GPU, API i SoC, entre altres maquinari i programari."
bio_michaeldell,"Michael Dell is an American business executive and technology entrepreneur who has a net worth of $112 billion. Dell dropped out of college and abandoned his unfinished medical degree to start a computer repair business that would prove to be extremely profitable. This $1,000 venture eventually grew into Dell, Inc.","Michael Dell és un executiu de negocis i empresari tecnològic nord-americà que té un valor net de 112.000 milions de dòlars. Dell va abandonar la universitat i va abandonar la seva carrera mèdica inacabada per iniciar un negoci de reparació d'ordinadors que seria extremadament rendible. Aquesta empresa de 1.000 dòlars finalment es va convertir en Dell, Inc."
bio_mukeshambani,"Mukesh Ambani is an Indian businessman who has a net worth of $108 billion. Mukesh Ambani earned his net worth through his career at Reliance Industries, a Fortune 500 company, where he is chairman, managing director, and largest shareholder.","Mukesh Ambani és un empresari indi que té un valor net de 108.000 milions de dòlars. Mukesh Ambani va guanyar el seu patrimoni net a través de la seva carrera a Reliance Industries, una empresa de Fortune 500, on és president, director general i accionista més gran."
bio_françoisebettencourtmeyers,"Françoise Bettencourt-Meyers is a French author and heiress who has a net worth of $102 billion. Françoise Bettencourt-Meyers is the richest woman in the world. Françoise inherited her fortune from her mother, the late Liliane Bettencourt. Liliane was one of the principal shareholders of L'Oreal. To this day, Françoise's family still retains a 33% stake in L'Oreal. She mostly focuses on writing Bible commentaries and books on Jewish-Christian relations.","Françoise Bettencourt-Meyers és una autora i hereva francesa que té un patrimoni net de 102.000 milions de dòlars. Françoise Bettencourt-Meyers és la dona més rica del món. Françoise va heretar la seva fortuna de la seva mare, la difunta Liliane Bettencourt. Liliane era una de les principals accionistes de L'Oreal. A dia d'avui, la família de Françoise encara manté una participació del 33% a L'Oréal. Se centra principalment a escriure comentaris bíblics i llibres sobre relacions jueu-cristians."
bio_carlosslimhelu,"Carlos Slim Helu is a Mexican businessman who has a net worth of $101 billion. Carlos Slim Helu is the richest person in Mexico and one of the richest people in the world. He earned his fortune thanks to his roughly 57% stake in the mobile phone giant America Movil. He also holds large stakes in the banking and insurance company Grupo Financiero Inbursa and holding company Grupo Carso, and other stakes in companies including Minera Frisco and the New York Time","Carlos Slim Helu és un empresari mexicà que té un patrimoni net de 101.000 milions de dòlars. Carlos Slim Helu és la persona més rica de Mèxic i una de les persones més riques del món. Va guanyar la seva fortuna gràcies a la seva participació d'aproximadament el 57% al gegant de la telefonia mòbil America Mòvil. També té grans participacions en la companyia bancària i d'assegurances Grupo Financiero Inbursa i el holding Grupo Carso, i altres participacions en empreses com Minera Frisco i New York Time."
bio_gautamadani,"Gautam Adani is an Indian entrepreneur who has a net worth of $101 billion. Gautam Adani is a billionaire industrialist and philanthropist from India, best known as the founder and chairman of the multinational conglomerate Adani Group.","Gautam Adani és un empresari indi que té un valor net de 101.000 milions de dòlars. Gautam Adani és un industrial multimilionari i filantrop de l'Índia, més conegut com a fundador i president del conglomerat multinacional Adani Group."
bio_amancioortegagaona,"Amancio Ortega Gaona is a Spanish fashion executive and entrepreneur who has a net worth of $85 billion. Amancio Ortega Gaona earned his fortune as the founder of Inditex, which is the parent company of fashion empire Zara.","Amancio Ortega Gaona és un executiu i emprenedor de moda espanyol que té un patrimoni net de 85.000 milions de dòlars. Amancio Ortega Gaona va guanyar la seva fortuna com a fundador d'Inditex, que és l'empresa matriu de l'imperi de la moda Zara."
bio_jimwalton,"Jim Walton is an American billionaire businessman who has a net worth of $75 billion. Jim Walton is the youngest son of Walmart founder Sam Walton. Upon Sam's death, Jim and his siblings split a roughly 40% stake in their father's company.","Jim Walton és un empresari multimilionari nord-americà que té un valor net de 75.000 milions de dòlars. Jim Walton és el fill petit del fundador de Walmart, Sam Walton. A la mort de Sam, Jim i els seus germans es van dividir una participació aproximadament del 40% a l'empresa del seu pare."
bio_robwalton,"S. Robson Walton, better known as Rob Walton, is an American businessman who has a net worth of $74 billion. Rob Walton is the eldest son of the founder of Walmart, Sam Walton.","S. Robson Walton, més conegut com a Rob Walton, és un empresari nord-americà que té un patrimoni net de 74.000 milions de dòlars. Rob Walton és el fill gran del fundador de Walmart, Sam Walton."
